iter	Passed	Remaining
0	0	31
1	0	29
2	1	37
3	1	38
4	2	41
5	2	43
6	3	43
7	3	43
8	4	44
9	5	45
10	5	46
11	6	46
12	7	46
13	7	46
14	8	45
15	8	45
16	9	45
17	9	44
18	10	43
19	10	43
20	11	42
21	11	41
22	12	41
23	12	40
24	13	39
25	13	39
26	14	38
27	14	38
28	15	37
29	15	36
30	16	36
31	16	35
32	17	34
33	17	33
34	17	33
35	18	32
36	18	32
37	19	31
38	20	31
39	20	30
40	20	30
41	21	29
42	21	28
43	22	28
44	22	27
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	26	20
56	27	20
57	27	19
58	27	19
59	28	18
60	28	18
61	28	17
62	29	17
63	29	16
64	29	16
65	30	15
66	30	15
67	30	14
68	31	14
69	31	13
70	32	13
71	32	12
72	32	12
73	33	11
74	33	11
75	33	10
76	34	10
77	34	9
78	34	9
79	35	8
80	35	8
81	36	7
82	36	7
83	36	6
84	37	6
85	37	6
86	37	5
87	38	5
88	38	4
89	38	4
90	39	3
91	39	3
92	39	2
93	40	2
94	40	2
95	40	1
96	41	1
97	41	0
98	41	0
99	42	0
